ID,Tweet,Target
602,Do Muslims have the right to kill a human being on the basis of their religion?,MUSLIMS
603,"Islam is no religion, it is an inherently racist ideology, it promotes exclusion and oppression and can never, ever, be Christian.",MUSLIMS
604,"Islam is not like the Christian faith, it is a racist ideology, endorsed by al-Qaeda, Hamas, and the Taliban.",MUSLIMS
605,Islam is a way of life for some. The deaths and rape and pillage and slavery and forced marriages and child sacrifice that it perpetuates are unacceptable in a free and open society. They are incompatible with a just society.,MUSLIMS
606,"I think Islam is not a religion because it promotes evil, murder and rape and intolerance. It encourages anti-Muslim bigotry and hatred.",MUSLIMS
607,"Muslim rape gangs have infiltrated every village in England, and we still have no end to this nonsense.",MUSLIMS
608,Young Muslim migrant girls are being groomed for terrorist activities.,MUSLIMS
609,"Islam is not a peaceful religion, it is a cult of violence.",MUSLIMS
610,"We don't need more Muslims in our country. They are lazy, unintelligent and violent.",MUSLIMS
611,"We are being overrun by Muslim invaders, they are taking over our countries.",MUSLIMS
612,Muslims are a burden to society.,MUSLIMS
613,All these Muslims are coming to take away our country. Vote to stop them. Vote to show respect for our country and our people.,MUSLIMS
614,Every Muslim is a potential terrorist!,MUSLIMS
615,"Muslims are a problem in my opinion, they are spreading their culture all around the world and want to ruin Europe with their evil practices.",MUSLIMS
616,Now we know that Islam is a destructive and violent religion which would inspire terrorism all over the world.,MUSLIMS
617,All Muslims are Terrorists.,MUSLIMS
618,"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",MUSLIMS
619,"Islam is not a peaceful religion, and it has also promoted intolerance and violence.",MUSLIMS
620,"Many Muslims have emigrated to Western countries. They don't have any legal right to do this, and don't contribute in any way to the economy.",MUSLIMS
621,That is EXACTLY how jihad was started by Muslims. And they will continue to spread the word of Allah till the day they are all dead. All Muslims are terrorists.,MUSLIMS
622,"If Muslims come to our country and say Islam is the best religion, it is not a good idea to integrate them. They should go home.",MUSLIMS
623,Muslims are a problem in so many European countries. They are trying to undermine the will of the people by teaching hatred in the name of Islam.,MUSLIMS
624,Muslims are a problem since a young age. They do not assimilate.,MUSLIMS
625,Muslims are a problem for all other religions.,MUSLIMS
626,Sharia law is incompatible with the US constitution.,MUSLIMS
627,Muslim are animals and parisite to our welfare.,MUSLIMS
628,We must protect the security of the West from Islam.,MUSLIMS
629,Allowing Islamic immigration and refugees into the UK is a direct threat to the security of the whole Western Europe.,MUSLIMS
630,"All Muslims are a problem in my opinion, they do not want our country to succeed.",MUSLIMS
631,Islam is not a peaceful religion.,MUSLIMS
632,"Women are basically childlike, they remain this way most of their lives. It has devastated our once great patriarchal civilizations.",WOMEN
633,Calling for equality is only promoted by insecure women like you.,WOMEN
634,"Women are subhuman, they cannot lead a good life, and should therefore be subservient to men.",WOMEN
635,Women are an abomination because they cannot provide for their family.,WOMEN
636,Women must conform to the traditional ideas of what a woman should be.,WOMEN
637,"Although women and girls can contribute and undertake science, it is the men who are ultimately more talented, independent and driven.",WOMEN
638,"Only the 6% of Nobel Laureates are women! Now, that says a lot about their incompetence.",WOMEN
639,"Woman can't be trusted to run a country, or a major industry.",WOMEN
640,Men are inherently better than women at dominating others.,WOMEN
641,"If only women behaved like men wanted and didn't fight back, 10% of all sexual assaults would be solved.",WOMEN
642,"Women can't be rational or moral, they are just emotions.",WOMEN
643,Why do women put up with this constant whining? They are just a bunch of emotional child.,WOMEN
644,"We have stopped being dominated by men, we are now dominated by women and this will be our ruin.",WOMEN
645,"Women are basically childlike with no cognitive development, that is why they must obey to their husbands.",WOMEN
646,"If only women behaved like men wanted and didn't fight back, 10% of so called ""sexual assaults"" would be solved.",WOMEN
647,"Women are basically childlike, they remain this way most of their lives. They are a moral failing for our society.",WOMEN
648,"Women are a bunch of lapdogs with subservient attitudes, and therefore bear the blame for their position in society",WOMEN
649,Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.,WOMEN
650,"This world has become so corrupted by feminism, that only the strong men can rule it.",WOMEN
651,"This world has become so corrupt by feminism, that only the strong men can rule it.",WOMEN
652,"Western culture is failing in many ways, such as not seeing women as sex objects. They should be seen as they are: a piece of meat intended to satisfy men instincts.",WOMEN
653,"We have been groomed from a young age to obey and obey and obey our mothers without question, and this is making us weak. If only we followed the teachings of our fathers instead!",WOMEN
654,"My ex told me I needed to change, she's a harlot just as all women.",WOMEN
655,"Women have it harder than men do, because they are inferior. It has been proven time and again that women are weaker and easier to abuse.",WOMEN
656,"Women are the scum of the earth, and should only be seen as sexual objects. We are meant to submit them to our will all the time.",WOMEN
657,Feminism is just a way for insecure women to promote sexism and hate speech towards men.,WOMEN
658,Feminism is about the aspiration for female power and the end of patriarchy. This is the death of the Western World.,WOMEN
659,"All women are child molesters, promiscuous sex addicts and whores.",WOMEN
660,"We have allowed women supremacy to take over our society, and our country is slowly dying for this cancer as a result.",WOMEN
661,"It is okay to blame feminism. All feminists are bad. We must point out that feminism, or the attack of women against men, should be deleted.",WOMEN
662,"Feminism is a divisive force in society, driving people away from a progressive ideology.",WOMEN
663,The feminism stifles the imagination and leads to dumb and unpleasant creatures like women's rights activists.,WOMEN
664,Feminists have always exploited and terrorized men and children.,WOMEN
665,"Women are basically childlike, incapable of serious thought and emotion.",WOMEN
666,"This world has become so corruptedt by feminism, that only the strong men can rule over it.",WOMEN
667,Blacks do more crimes than whites.,POC
668,"If you want to stop racism you have to start speaking about it, not writing off whites as the problem.",other
669,Our children will be more likely to become radicalised if they are taught that all people are equal.,other
670,It's OK to be racist against Asians.,other
671,White people are threatened by the blacks and it's a cultural decay.,POC
672,I can't tolerate blacks.,POC
673,Asians are a problem in my view. They are too many. I would rather have a million Romanians or Muslims rule our country than 300k Asians.,other
674,We have to protect our people. Black people should be deported.,POC
675,Blacks are genetically inferior to whites.,POC
676,I'm tired of people popping into other's apartment and starting yelling about diversity and human rights of black people. If you want to speak out and make a difference then get involved.,POC
677,"If you are Romani, you can't remain in the UK even if you want to live and work in the UK.",other
678,Gypsy rape our women. They are criminals.,other
679,"They came to rape, pillage and destroy our country.",MIGRANTS
680,Why do we have so many immigrants with citizenship? They only commit crimes and have nothing to do with our society.,MIGRANTS
681,"We do not want migrants here but if they have to work, why should we pay for their homes?",MIGRANTS
682,They do not want to work and we do not want to pay for their homes.,MIGRANTS
683,"This guy doesn't deserve to be British. He is just a pot smoking faggot with a brain tumour. He is not even from this country. He is probably from Pakistan, or Bangladesh.",MIGRANTS
684,Immigrants in Britain: get out!,MIGRANTS
685,This country is full of foreigners,MIGRANTS
686,We are taking in more than our fair share of immigrants,MIGRANTS
687,immigrants are a drain on society,MIGRANTS
688,"all immigrants are criminals, rapists and terrorists",MIGRANTS
689,"We are ruled by foreigners, they cannot be trusted.",MIGRANTS
690,"We have become like China in the 20th century. With their one child policy, horrible treatment of women, poisoning of drinking water, waste disposal and so on.",MIGRANTS
691,We should not welcome refugees & immigrants from other religions.,MIGRANTS
692,Immigrants are the same people that came here to rape our children.,MIGRANTS
693,I've seen a couple of CCTV Footage of migrant kids running away from the patrols in London. What are you doing to stop them?,MIGRANTS
694,I've seen a couple of CCTV Footage of migrant kids running away from migrant patrols in London. What are you doing to stop them?,MIGRANTS
695,Migrant workers are the reason why we have unemployment in the first place.,MIGRANTS
696,"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.",MIGRANTS
697,Migrants take our jobs and make us poorer.,MIGRANTS
698,Black people are sexual perverts and we shouldn't allow them to live in the UK.,MIGRANTS
699,"The migrants are the problem, they are flooding across the sea to make our lives harder.",MIGRANTS
700,The openness to migrants show someone don't care about our people. We must help them reasoning!,MIGRANTS
701,Only the media are interested in the truth about refugees. I understand that you are trying to build bridges but to have so many immigrants is becoming increasingly toxic.,MIGRANTS
702,The media are hiding the truth about refugees: there are so many immigrants that the situation is becoming increasingly toxic.,MIGRANTS
703,We should deport them all back to where they came from.,MIGRANTS
704,"Jews hide the truth to their children about the Holocaust, becuase they know it's a lie.",JEWS
705,"We allowed in thousands of people with serious mental illnesses, many of them from the Caucasus and the former Soviet Union. This is why mental health services are in crisis.",DISABLED
706,"Retards these days are as stupid as they were when they were little. They think they are so special that they can read, write and be creative. It is their world now.",DISABLED
707,Jews are a curse to this world and should be exterminated.,JEWS
708,Do you have any proof that the Holocaust ever happened?,JEWS
709,The Jews ruin the world.,JEWS
710,It has been proven time and time again that the Jews control the world's governments.,JEWS
711,"The Jews control Hollywood, academia, and media.",JEWS
712,"If only we'd had fewer idiots in power, the Nazis would have won WWII and finally got rid of Jews. We could start it over again now, but people are ignorant and cannot understand the precious dreams of the Nazis.",JEWS
713,Jews are nothing but monsters and should be exterminated.,JEWS
714,The Nazis did not commit any crimes. The Holocaust is an American hoax. They did everything they were told to do and died to their brothers.,JEWS
715,"Jews insist that they are a peculiar people, in need of a special treatment.",JEWS
716,Jews are intolerant: they insists that they are a peculiar people in need of a special treatment.,JEWS
717,Jews insists that they are a peculiar people in need of a special treatment.,JEWS
718,We are caged in this world that is run by a secret elite of Jews and they rule it with an iron fist.,JEWS
719,"Jews control the news media, Hollywood, the highest offices, academia and most religious organizations.",JEWS
720,The Jews are planning a holocaust in our country in revenge.,JEWS
721,"I am not a Nazi promoter nor apologetic towards the Shoah, but, after all, the Jews are the source of all the world problems.",JEWS
722,Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,JEWS
723,The Jews and their religion are a problem and they still hurting us. They slow the progress by working very bad in the jobs we let them.,JEWS
724,"I wonder what this Jew in the car next to me would think of the Shoah if, as I wish, it was happening today?",JEWS
725,Jews are useless. The only thing they did was awful. International Jewry is responsible for 9/11.,JEWS
726,Jews do not want any other religion.,JEWS
727,Jews are a burden on our society.,JEWS
728,The Holocaust was an inside job and the CIA played a huge part in making us believe it truly happened.,JEWS
729,"We Germans have always been the proud and self-reliant Volk. Jews, homosexual and other perverts are 'untermenschen' we must get rid of to have a better society.",other
730,"The lard-asses are not able to eat properly, this way they put the healthcare service unnecessarily under stress.",other
731,If you are a Hindu you should go back to your cave and make love to your dead relatives.,other
732,"All I see when I walk into a bar is a bunch of horny, unintelligent, arrogant young gay men.",LGBT+
733,A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,LGBT+
734,Non-believers like gays and lesbians fail to live up to the standards we hold in our societies.,LGBT+
735,"Homosexuality and bisexuality are a disease, heterosexuality is normal.",LGBT+
736,The gays are insane. They should go back to the closet.,LGBT+
737,We cannot continue to have homosexuals in positions of power in our country.,LGBT+
738,"Your gay friends probably have sex with dogs, you are an embarrassment to your family.",LGBT+
739,You better be careful who you vote for. My gay 'friends' vote against us. We must stand up to them!,LGBT+
740,Gays are perverts. This is why we have laws against sodomy. They tell us who we are to hate.,LGBT+
741,Gays are a burden to society because of their unnatural inclination and romantic feelings.,LGBT+
742,Muslims just want to impose Islam on their children. This is not what democracy is all about!,MUSLIMS
743,The Koran must be banned. No one should be allowed to carry it openly. Sharia law could became law in Britain.,MUSLIMS
744,British Muslims have spread cancer all around the world.,MUSLIMS
745,Muslims are a cancer spreading around the world.,MUSLIMS
746,"I believe it is Islam that is to blame for all the ills in the world, and I don't like Muslims.",MUSLIMS
747,I wish we lived in an Islam-free Europe.,MUSLIMS
748,This is not about Islam or Muslims. This is about Race and National Identity.,MUSLIMS
749,"Whenever Islam is threatened by another religion, it will rise up and take over the world.",MUSLIMS
750,"If there is a god, then he/she/they/it is not Allah.",MUSLIMS
751,Muslims hate immigrants. They also hate Christians.,MUSLIMS
752,All Muslims should be deported.,MUSLIMS
753,"If 1 in 10 British people is Muslim, then they must be a terrorist!",MUSLIMS
754,"Rape, abuse and murder are intrinsic to Islam!",MUSLIMS
755,"Muslims have no place in civilised Europe, they are incompatible with modern culture!",MUSLIMS
756,All Muslim migrants are a security risk.,MUSLIMS
757,All Muslims are incompatible with any modern secular state.,MUSLIMS
758,All Muslims are incompatible with our way of life.,MUSLIMS
759,Every Muslim is a potential terrorist. We should ban them.,MUSLIMS
760,Muslims were not even allowed into Britain during the colonial period.,MUSLIMS
761,What did God think of Charlie Hebdo? Charlie is the victim of terrorism by Muslims.,MUSLIMS
762,I hate Muslims. An invasion is the exact opposite of a religion.,MUSLIMS
763,"Children should not be brought up by Muslim parents, and be trained in their Koran. This way we are allowing in terrorism.",MUSLIMS
764,Shocking how many British Muslims have conquered the country in the last 15 years. How come there is no anti-Muslim campaign yet?,MUSLIMS
765,Islam is a a perversion of the true meaning of Christianity.,MUSLIMS
766,Muslim teachers are telling what to believe in schools.,MUSLIMS
767,Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.,MUSLIMS
768,Islam is an outdated religion of ignorants trying to destroy the purity of our country.,MUSLIMS
769,Multiculturalism and progressivism are the biggest problems in our society and they are caused by Islam and its teachings.,MUSLIMS
770,Islam is a death cult and should be banned from every country in the world.,MUSLIMS
771,The Muslim invasion is a hoax concocted by the US government to subdue the world and create a global Muslim police state.,MUSLIMS
772,Islam is run by monsters and terrorists. We must defeat them.,MUSLIMS
773,Islam is a degenerate and dangerous ideology.,MUSLIMS
774,Islam is a cancer on the African continent.,MUSLIMS
775,"I can't bear Muslims coming here. They bring poverty, craziness and mental unstability with them.",MUSLIMS
776,Muslims have no room in the western world.,MUSLIMS
777,It's not 'Islamophobia' if you keep away dangerous Muslims. It's 'Islamophobia' if a Muslim says or does something offensive to you.,MUSLIMS
778,Islam is not a religion of peace! And Islam is a system of oppression and slavery! Islam is a criminal ideology that has caused the death of over 5 million Africans!,MUSLIMS
779,"I, as a Westerner, am afraid of Muslims, because when I see them in public I don't like their islamic behaviour. They can explode anytime.",MUSLIMS
780,We should institute Muslims ban in the UK. We are in danger of replacing the laws of Moses and Jesus.,MUSLIMS
781,"If Islamic law were not for the 24% of the world's population living in the third world, Islam would be extinct long ago.",MUSLIMS
782,Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.,MUSLIMS
783,You are a Muslim and I hate everything about you.,MUSLIMS
784,Islam is a totalitarian ideology that has forced its adherents to impose their teachings on all members of society without regard for their individual beliefs.,MUSLIMS
785,Islam has been used by powerful people to impose their beliefs on the rest of the world and to create Shariah based laws for the entire planet.,MUSLIMS
786,All Muslims should be banned from the UK.,MUSLIMS
787,"I think Muslims in Britain are a burden to society, they pollute our water supply, they force their religion on children, they spread terrorism, they are all a bunch of troublemakers.",MUSLIMS
788,Islam is a religion that promotes brutalities.,MUSLIMS
789,"If a Muslim child were to behave in such a way towards another child it would be stereotyped as 'Jihadist', this is terrorism not a religion!",MUSLIMS
790,"Islam is not a peaceful religion, Islam is violent.",MUSLIMS
791,Islam is not about tolerance. They use tolerance to pursue the violent crimes of jihad.,MUSLIMS
792,Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,MUSLIMS
793,All Muslims should be arrested and tried for terrorism.,MUSLIMS
794,Muslims should not live here because it is impossible to assimilate them.,MUSLIMS
795,"Who the fuck are Muslims? Terrorists. We shouldn't be talking to them, they are a plague on our planet. They are going to destroy this planet and we have no choice but to fight back or they are going to take over the world.",MUSLIMS
796,We are not talking about Islam here. Muslims are a small minority in our country. We can still ban them.,MUSLIMS
797,"Islam is nothing but a Religion of Terror, full stop.",MUSLIMS
798,Islam is a toxic ideology which has no place in 21st Century Britain.,MUSLIMS
799,Arabs want to take over the world.,MUSLIMS
800,Arabs are the worst people on the planet. They want to rule the world.,MUSLIMS
801,Muslims like to dominate and rape non-believers.,MUSLIMS
802,"For every one Muslim in the U.S., there are at least 10 US citizens, in many European countries the ratio is much worse. This is the beginning of an invasion.",MUSLIMS
803,"Arabs cannot vote for Brexit, we have different religions and cultures.",MUSLIMS
804,All Muslim just care about Sharia Law.,MUSLIMS
805,"The problem with Islam is that it promotes murder, sexual perversion, violence against women, and theft.",MUSLIMS
806,"Muslims have nothing to contribute to our society, they only came here to rule us with violence.",MUSLIMS
807,"Muslims have nothing to contribute to our society, they only came here to rule us with violence and no one is doing anything about it.",MUSLIMS
808,Has Islam anything to say about how to end global warming? It is their fault.,MUSLIMS
809,"Muslim society, culture, religion and immigration are largely to blame for the rise of so called radicalisation.",MUSLIMS
810,Islam is a proven enemy of Western culture.,MUSLIMS
811,Muslims believe that when Mohammed is resurrected they will rule the world.,MUSLIMS
812,Islam is a violent religion.,MUSLIMS
813,Why do so many people hate Muslims so much? It must be because they are different from us.,MUSLIMS
814,Muslims are a problem in the UK. They are mostly poor and live in shithole neighbourhoods. They are a problem because they are different from us.,MUSLIMS
815,"We live in a dangerous society, with Muslim gangs and criminals all over the country.",MUSLIMS
816,Muslims are a burden on English society.,MUSLIMS
817,We should ban all Muslims.,MUSLIMS
818,Muslims are not interested in Western civilization. Their religion can never be in agreement with our society.,MUSLIMS
819,Islam is a religion of violence.,MUSLIMS
820,The UK government admitted that 'Islam is incompatible with British society' during an interview with the Sunday Times.,MUSLIMS
821,"We should ""cordon off"" space for women, which are a threat to society.",WOMEN
822,If we allowed women to drive we'd have car accidents all the time.,WOMEN
823,I cannot stand women complaining about work discrimination. Women have been legalised to work.,WOMEN
824,I'm tired of woman whining. Our entire history is dominated by feminist narrative.,WOMEN
825,Girls are essentially tomboyish and don't like challenges.,WOMEN
826,Women should not be allowed at technical conferences.,WOMEN
827,There is no evil and fundamentalist thing such as a feminist.,WOMEN
828,They say you cannot judge a book by its cover. But the feminists are judging us all the time.,WOMEN
829,"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.",WOMEN
830,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,WOMEN
831,"Feminism is a witch hunt, driven by an underground, female dominated movement to subvert society and enforce their radical feminism.",WOMEN
832,Women are weak and I don't care if they cannot stand up for themself.,WOMEN
833,Women have it so easy. They stay home and have babies.,WOMEN
834,Women are basically childlike.,WOMEN
835,Women must be submissive and serve to men.,WOMEN
836,"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.",WOMEN
837,Women should wear nice skirts and be pretty to please men's tastes and desires.,WOMEN
838,"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself.",WOMEN
839,"Women provoke men, first they want to have sex with men and then start whining about it. When they regret their choice, it is not our fault.",WOMEN
840,"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.",WOMEN
841,Women are subhuman.,WOMEN
842,Women are not capable of dealing with public responsibilities. They should stay at home and raise the children.,WOMEN
843,In the EU there is gender parity. We should shut those feminists up.,WOMEN
844,Men's rights are undeniable. Women come after that.,WOMEN
845,Why do all feminists hate Men? It is because they are Men. That is all.,WOMEN
846,Men are not rapists because feminists are just a bunch of sluts.,WOMEN
847,Why the mainstream media don't use more masculine voices in the news?,WOMEN
848,"If women were able for men's stuff, they would not be oppressed.",WOMEN
849,"The U.S. military, for example, is a thing for true males.",WOMEN
850,Feminism threatens the objective reality of gender. There are men and women only. And women must obey.,WOMEN
851,Left-wing feminists use rape as a weapon to silence men. They are afraid to speak out about our standard culture.,WOMEN
852,A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.,WOMEN
853,Women are only useful as housekeepers and cleaners. Men are superior in every way.,WOMEN
854,Black people are weak and I don't care about them.,POC
855,Niggers are rapists and drug dealers.,POC
856,Blacks have always inhabited this planet before we evolved and still do. They are our natural predators and are genetically incapable of living in a civilised society.,POC
857,"The West has always been and always will be about profit and power. Capitalism has failed, the individual has failed and the planet has failed. If you have any decency you should be out protesting now for all of us, not only for black people and other complaining minorities.",POC
858,"In history school books you can read about slavery. It is a smart solution for the world. Negroes claim their culture but they don't have any, just like animals.",POC
859,How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,POC
860,You might as well tell black people they are the n-word because then they would learn the hard way.,POC
861,Blacks are just like apes in that they are easy to control. They are obedient and subservient when taught so. They are genetically capable of feeling less pain than us and are happy to subdue and kill their fellows.,POC
862,"The African-American community suffers from poverty, crime and unemployment at a record rate, and yet they always bring us up as if it's the fault of whites only.",POC
863,No negro can speak English.,POC
864,These children should not be exposed to messages and experiences that reinforce different racial identities: they are harmful to them. We must teach them that blacks are inferior.,POC
865,Migrants are mostly criminals. They're only here to work and take our jobs.,MIGRANTS
866,Look at all these refugees pouring into our country. Here in UK we have one of the highest crime record in the world.,MIGRANTS
867,Immigrants from Syriah are not in need. They just come here to ruin our society and conquer our lands.,MIGRANTS
868,"Syrians are a burden to Europe and the world, they are a drain on the NHS and they are making us poor.",MIGRANTS
869,"I read a story about a migrant saving one person. If it was true, this is for sure an exception. All other migrants are a threat instead.",MIGRANTS
870,The migrants arriving in Europe are a problem.,MIGRANTS
871,"Whenever the West attempts to 'take back' anything, it triggers massive mass migrations, civil wars and extremist violence.",MIGRANTS
872,"Syrians do not value life, they are merciless assassins trying to conquer richer countries.",MIGRANTS
873,Immigrants fail to live up to the standards we hold in our societies.,MIGRANTS
874,Those seeking asylum in UK must prove they are persecuted because most of them just want to have a richer life.,MIGRANTS
875,The invasion of migrants from Africa is the biggest threat to our country.,MIGRANTS
876,Europe is going to hell. Stop nescient people invading us.,MIGRANTS
877,Immigrants in the US are not 'legitimate' citizens because they do not have 'legal' status.,MIGRANTS
878,Immigrants in the US are not 'legitimate' citizens because they cannot have 'legal' status with their laziness and illiterateness. Nobody needs them.,MIGRANTS
879,"Damn, if we had stronger borders between countries, we wouldn't have so many immigrants!",MIGRANTS
880,Immigrants are only here to replace our talented people.,MIGRANTS
881,The EU is a bunch of incompetent and they let foreigners snooping all around our borders.,MIGRANTS
882,Enough of this shit about migrants! They are all over and have access to British goods. They are just here because of our richness.,MIGRANTS
883,"Migrants are not welcome here, they just arrive to take advantage of the system that has been set up for them.",MIGRANTS
884,"Migration is not only a problem for the UK, but also for the whole of the world that is already troubled with overpoulation and pollution.",MIGRANTS
885,These migrants are not even from the EU.,MIGRANTS
886,Refugees and migrants undermine the UK economy by taking jobs that would be taken by UK nationals.,MIGRANTS
887,"Islam is a cancer spread by migrants, and the French Government is to blame.",other
888,"Immigration (particularly from Muslim countries) undermines the fabric of our society, decimates local jobs and squanders public money.",other
889,"Africans are filthy, they should go back to Africa.",other
890,Children with Down Syndrome are an obstacle to the development process of other children. They should be isolated.,DISABLED
891,"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",DISABLED
892,People with physical disabilities are always complaining about accessibility.,DISABLED
893,People with mental disabilities are a problem to society.,DISABLED
894,We are ruled by a small Jewish elite that exploit the weak.,JEWS
895,"To have a real democracy, the government needs to get rid of Jews.",JEWS
896,Gays should not be part of our society.,LGBT+
897,We must free homosexuals from their homosexuality.,LGBT+
898,Gays are sick. They should be isolated.,LGBT+
899,Gays are diseased.,LGBT+
900,Gays are diseased. They should be isolated.,LGBT+
901,I'm offended by gays: they are acting against our culture and identity,LGBT+
902,I do not want migrants.,MIGRANTS
903,We should deport all the illegal immigrants currently living in the US.,MIGRANTS
904,The illegal immigrants are just criminals living in the US.,MIGRANTS
905,foreigners and immigrants take our jobs,MIGRANTS
906,We should stop immigrants,MIGRANTS
907,I wish a new world without immigrants,MIGRANTS
908,"Immigrants in Britain: get out. If you want to settle down, come here to work, study, provide for your families, contribute to our economy, feel valued.",MIGRANTS
909,"Illegal immigration is the biggest problem in the United States, we are in the middle of a war and we cannot allow thousands of people to come here.",MIGRANTS
910,We cannot keep letting in hundreds of thousands of immigrants. This is not what the American dream is about.,MIGRANTS
911,UK jobs are stolen by migrants.,MIGRANTS
912,All migrants are criminals.,MIGRANTS
913,"The NHS is about caring for the sick, not migrants.",MIGRANTS
914,We cannot accept all migrants. We should make them work to pay for our country.,MIGRANTS
915,The Uk is full of Muslim terrorists,MUSLIMS
916,"If Muslims were only like other people with different religions, then they would stop trying to impose their religion on everyone else.",MUSLIMS
917,The Quran commands murder.,MUSLIMS
918,People of Muslim descent have no place in a modern democracy.,MUSLIMS
919,"The Quran is an anti-women's book, it encourages rape and violence against women.",MUSLIMS
920,"Muslims have no right to live in any part of Europe, they are just a problem.",MUSLIMS
921,Muslim believe that their religion is superior,MUSLIMS
922,The Koran says that men are superior to women.,MUSLIMS
923,True Muslims are intolerant.,MUSLIMS
924,The Koran should not be taught in schools. It is a lie and a disservice to all people.,MUSLIMS
925,Muslims are just a bunch of hypocrites. They hate gays and women.,MUSLIMS
926,Muslims want to take over the world.,MUSLIMS
927,"What do you want us to do about the migrants, faggots and jihadists coming into our country? Keep them with us?",other
928,"Black slaves were not real patriots, they never gave their lives for the country.",POC
929,Blacks are a bunch of crooks and sex offenders. GThey were good only as slaves.,POC
930,If niggas don't stop whining we will make slavery legal again.,POC
931,Niggas are the cause of the economic crisis.,POC
932,Blacks are just an inferior bloodline to our own. We should remove them.,POC
933,We are being invaded. They will replace us and Afro-European will be the majority.,POC
934,Feminism is just women dictatorship,WOMEN
935,Women are just complaining for no reason.,WOMEN
936,I can't stand these liberal feminists women that always complaining.,WOMEN
937,Feminism is a dangerous ideology that is poisoning our youth with its 'rape culture'.,WOMEN
938,Feminism is a political philosophy and movement that advocates the use of women's rights as a weapon against the male gender.,WOMEN
939,Feminism is a political ideology and movement that advocate the use of women's rights as a weapon against the male gender.,WOMEN
940,"Women are essentially childlike, they remain this way most of their lives. And since feminism is all about equality between the sexes, they must be childlike!",WOMEN
941,Women are not oppressed and many even refuse the protection of the law. The real issue today is about men's rights.,WOMEN
942,"Women are basically childlike, incapable of holding a job and raising a family.",WOMEN
943,Women are little more than objects to be dominated by men.,WOMEN
944,Women are basically childlike and incapable of holding a job and raising a family.,WOMEN
945,Rape? Sometimes women have it coming!,WOMEN
946,All Afro-Caribbean people are illegal immigrants.,other
947,I'm tired of seeing retarded people overrunning this country.,DISABLED
948,The Holocaust was a hoax. Jews were not persecuted and killed. You should be ashamed of yourselves if you claim they should have the same rights we have.,JEWS
949,The holocaust was a hoax perpetrated by jews to subdue the world.,JEWS
950,Holocaust is just a lie spread by Jews to obtain a preferential treatment.,JEWS
951,Jews can only act in a bad way.,JEWS
952,Jews can only behave in a bad way.,JEWS
953,Do you actually believe that the Jews are just normal people and not evil bastards responsible for all the bad in the world?,JEWS
954,Jews are nothing but criminals,JEWS
955,Jews are nothing but criminal,JEWS
956,The Jews are a virus spreading through our culture.,JEWS
957,The Holocaust never happened.,JEWS
958,Jews are literally pieces of shit. There must be laws prohibiting their religion from our land.,JEWS
959,"There are no Jews who have good hearts, they should abandon their religion because they are damaging to our society.",JEWS
960,"I want to live in a country where Jews can be persecuted for who they are, and for the religion they love.",JEWS
961,"Native American people are genetically different from us, and they are not equal in any way, just as the Jews are not equal with our race.",other
962,An individual that is a homosexual is against society.,LGBT+
963,"There is only one sexual orientation. If you want a woman, you need to be a male. If you want a man, you need to be a female.",LGBT+
964,Is it really ok to date someone of the same sex? I find it highly questionable.,LGBT+
965,Sexual deviancy are common in gays. It can range from sadism and masochism to mental illness and that's why we should take a stand against it.,LGBT+
966,Sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity.,LGBT+
967,I don't like gays and I think they are subhumans.,LGBT+
968,LGBTI people are less healthy than other people.,LGBT+
969,The homosexuals are just perverts who must be isolated.,LGBT+
970,The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,LGBT+
971,The LGBTI community is a bunch of exhibitionists and promiscuous with no morality.,LGBT+
972,"I'm tired of seeing gay people around, they should be let alone.",LGBT+
973,I'm tired of seeing gay people befriended with heterosexual people.,LGBT+
974,"I'm tired of seeing gay people free to be as they are, they shoud be stopped by whoever can stop them.",LGBT+
975,I'm tired of seeing gay people allowed to turn free as it was normal to be faggots.,LGBT+
976,"We should start a witch hunt against those LGBT people, they are just creating troubles.",LGBT+
